Date,Open,High,Low,Close,Volume,Adj Close
2012-03-27,0.06,0.07,0.05,0.06,1060000,0.06
2012-03-26,0.06,0.06,0.05,0.06,745600,0.06
2012-03-23,0.06,0.06,0.06,0.06,1237900,0.06
2012-03-22,0.05,0.06,0.05,0.06,3200300,0.06
2012-03-21,0.05,0.05,0.05,0.05,1002800,0.05
2012-03-20,0.05,0.05,0.05,0.05,1855100,0.05
2012-03-19,0.06,0.06,0.05,0.05,1790700,0.05
2012-03-16,0.06,0.06,0.05,0.05,1440300,0.05
2012-03-15,0.05,0.06,0.05,0.06,1816000,0.06
2012-03-14,0.05,0.05,0.05,0.05,1386100,0.05
2012-03-13,0.06,0.06,0.04,0.05,7000500,0.05
2012-03-12,0.07,0.07,0.06,0.06,1585700,0.06
2012-03-09,0.07,0.07,0.06,0.07,3086700,0.07
2012-03-08,0.07,0.07,0.06,0.07,3536400,0.07
2012-03-07,0.08,0.08,0.06,0.07,4996900,0.07
2012-03-06,0.07,0.08,0.07,0.07,4857900,0.07
2012-03-05,0.07,0.07,0.07,0.07,4308300,0.07
2012-03-02,0.06,0.07,0.05,0.06,8173300,0.06
2012-03-01,0.08,0.08,0.05,0.06,16248800,0.06
2012-02-29,0.07,0.11,0.07,0.07,49321000,0.07
2012-02-28,0.03,0.07,0.03,0.07,31008300,0.07
2012-02-27,0.03,0.03,0.03,0.03,1861700,0.03
2012-02-24,0.03,0.03,0.03,0.03,3036900,0.03
2012-02-23,0.02,0.03,0.02,0.03,5628700,0.03
2012-02-22,0.03,0.03,0.02,0.02,2459400,0.02
2012-02-21,0.03,0.03,0.03,0.03,1965100,0.03
2012-02-17,0.02,0.03,0.02,0.03,1362800,0.03
2012-02-16,0.03,0.03,0.02,0.02,1155800,0.02
2012-02-15,0.03,0.03,0.02,0.03,1442700,0.03
2012-02-14,0.03,0.03,0.02,0.02,1518500,0.02
2012-02-13,0.03,0.03,0.02,0.03,3605100,0.03
2012-02-10,0.03,0.03,0.03,0.03,1826400,0.03
2012-02-09,0.03,0.03,0.03,0.03,2911500,0.03
2012-02-08,0.03,0.03,0.03,0.03,1324100,0.03
2012-02-07,0.03,0.03,0.03,0.03,2078800,0.03
2012-02-06,0.03,0.03,0.03,0.03,1883200,0.03
2012-02-03,0.03,0.03,0.02,0.03,5141100,0.03
2012-02-02,0.02,0.03,0.02,0.02,1769100,0.02
2012-02-01,0.03,0.03,0.02,0.03,615000,0.03
2012-01-31,0.03,0.03,0.02,0.03,862200,0.03
2012-01-30,0.02,0.03,0.02,0.03,782400,0.03
2012-01-27,0.03,0.03,0.02,0.03,494900,0.03
2012-01-26,0.03,0.03,0.02,0.03,468400,0.03
2012-01-25,0.03,0.03,0.02,0.03,1366900,0.03
2012-01-24,0.03,0.03,0.03,0.03,705400,0.03
2012-01-23,0.03,0.03,0.03,0.03,422000,0.03
2012-01-20,0.03,0.03,0.03,0.03,851700,0.03
2012-01-19,0.03,0.03,0.03,0.03,1285300,0.03
2012-01-18,0.03,0.03,0.03,0.03,577100,0.03
2012-01-17,0.02,0.03,0.02,0.03,4073900,0.03
2012-01-13,0.02,0.03,0.02,0.02,3702700,0.02
2012-01-12,0.03,0.03,0.02,0.03,3340600,0.03
2012-01-11,0.03,0.03,0.02,0.02,2145800,0.02
2012-01-10,0.03,0.04,0.03,0.03,2655700,0.03
2012-01-09,0.03,0.03,0.03,0.03,2292400,0.03
2012-01-06,0.03,0.03,0.02,0.03,1745800,0.03
2012-01-05,0.02,0.03,0.02,0.03,1255400,0.03
2012-01-04,0.02,0.02,0.02,0.02,660300,0.02
2012-01-03,0.02,0.02,0.02,0.02,558800,0.02
2011-12-30,0.02,0.02,0.02,0.02,1557400,0.02
2011-12-29,0.01,0.02,0.01,0.02,844200,0.02
2011-12-28,0.02,0.02,0.01,0.01,144000,0.01
2011-12-27,0.02,0.02,0.01,0.01,1050500,0.01
2011-12-23,0.01,0.02,0.01,0.01,2081400,0.01
2011-12-22,0.01,0.02,0.01,0.01,430400,0.01
2011-12-21,0.01,0.02,0.01,0.01,422300,0.01
2011-12-20,0.02,0.02,0.01,0.01,685400,0.01
2011-12-19,0.02,0.02,0.01,0.01,3103200,0.01
2011-12-16,0.02,0.02,0.02,0.02,1131300,0.02
2011-12-15,0.02,0.02,0.02,0.02,640900,0.02
2011-12-14,0.02,0.02,0.02,0.02,103800,0.02
2011-12-13,0.02,0.02,0.02,0.02,714600,0.02
2011-12-12,0.02,0.02,0.02,0.02,943200,0.02
2011-12-09,0.02,0.02,0.02,0.02,933000,0.02
2011-12-08,0.02,0.02,0.02,0.02,605600,0.02
2011-12-07,0.02,0.02,0.02,0.02,392700,0.02
2011-12-06,0.02,0.02,0.02,0.02,2148100,0.02
2011-12-05,0.02,0.02,0.02,0.02,1368700,0.02
2011-12-02,0.02,0.02,0.02,0.02,299400,0.02
2011-12-01,0.02,0.02,0.02,0.02,879800,0.02
2011-11-30,0.02,0.02,0.02,0.02,491800,0.02
2011-11-29,0.02,0.02,0.02,0.02,1711800,0.02
2011-11-28,0.02,0.02,0.02,0.02,1280500,0.02
2011-11-25,0.02,0.02,0.02,0.02,224700,0.02
2011-11-23,0.02,0.02,0.02,0.02,690700,0.02
2011-11-22,0.02,0.02,0.02,0.02,1030400,0.02
2011-11-21,0.02,0.02,0.02,0.02,739700,0.02
2011-11-18,0.02,0.02,0.02,0.02,420200,0.02
2011-11-17,0.02,0.02,0.02,0.02,1787000,0.02
2011-11-16,0.02,0.02,0.02,0.02,3955300,0.02
2011-11-15,0.03,0.03,0.02,0.02,8063700,0.02
2011-11-14,0.03,0.03,0.02,0.03,258800,0.03
2011-11-11,0.03,0.03,0.03,0.03,345300,0.03
2011-11-10,0.02,0.03,0.02,0.03,1099800,0.03
2011-11-09,0.02,0.03,0.02,0.03,284000,0.03
2011-11-08,0.03,0.03,0.02,0.03,1113600,0.03
2011-11-07,0.03,0.03,0.03,0.03,714800,0.03
2011-11-04,0.03,0.03,0.03,0.03,3515100,0.03
2011-11-03,0.03,0.03,0.03,0.03,558600,0.03
2011-11-02,0.03,0.03,0.03,0.03,555700,0.03
2011-11-01,0.03,0.03,0.03,0.03,174100,0.03
2011-10-31,0.03,0.03,0.03,0.03,882800,0.03
2011-10-28,0.03,0.03,0.03,0.03,1120100,0.03
2011-10-27,0.03,0.03,0.03,0.03,215300,0.03
2011-10-26,0.03,0.03,0.03,0.03,817500,0.03
2011-10-25,0.03,0.03,0.03,0.03,253200,0.03
2011-10-24,0.03,0.03,0.03,0.03,614400,0.03
2011-10-21,0.03,0.03,0.03,0.03,1360900,0.03
2011-10-20,0.02,0.03,0.02,0.03,1360000,0.03
2011-10-19,0.02,0.02,0.02,0.02,1396800,0.02
2011-10-18,0.02,0.02,0.02,0.02,1780800,0.02
2011-10-17,0.02,0.02,0.02,0.02,864400,0.02
2011-10-14,0.03,0.03,0.02,0.02,1667600,0.02
2011-10-13,0.03,0.03,0.02,0.02,1141900,0.02
2011-10-12,0.03,0.03,0.02,0.02,1712000,0.02
2011-10-11,0.02,0.03,0.02,0.02,1897700,0.02
2011-10-10,0.02,0.03,0.02,0.03,2771000,0.03
2011-10-07,0.03,0.03,0.03,0.03,2479500,0.03
2011-10-06,0.03,0.03,0.03,0.03,854900,0.03
2011-10-05,0.03,0.03,0.03,0.03,292100,0.03
2011-10-04,0.03,0.03,0.03,0.03,1578300,0.03
2011-10-03,0.03,0.03,0.03,0.03,370100,0.03
2011-09-30,0.03,0.03,0.03,0.03,663600,0.03
2011-09-29,0.03,0.03,0.03,0.03,2690500,0.03
2011-09-28,0.03,0.04,0.03,0.03,952300,0.03
2011-09-27,0.03,0.04,0.03,0.04,630300,0.04
2011-09-26,0.04,0.04,0.03,0.03,526800,0.03
2011-09-23,0.04,0.04,0.03,0.03,1321000,0.03
2011-09-22,0.04,0.04,0.04,0.04,1312900,0.04
2011-09-21,0.04,0.04,0.04,0.04,296700,0.04
2011-09-20,0.04,0.04,0.04,0.04,885200,0.04
2011-09-19,0.04,0.04,0.04,0.04,906300,0.04
2011-09-16,0.04,0.04,0.04,0.04,874500,0.04
2011-09-15,0.04,0.04,0.04,0.04,229300,0.04
2011-09-14,0.05,0.05,0.04,0.04,422100,0.04
2011-09-13,0.04,0.05,0.04,0.04,783100,0.04
2011-09-12,0.05,0.05,0.04,0.04,280700,0.04
2011-09-09,0.05,0.05,0.04,0.04,523500,0.04
2011-09-08,0.04,0.05,0.04,0.04,494200,0.04
2011-09-07,0.04,0.05,0.04,0.04,867000,0.04
